localite_ID_renacom,latitude,loc_type,locality,longitude,n_bureau,n_population_2001,n_population_2012,n_voters
408,17.2,CPT,BATTLE,8.05,1,187,,0.0
409,17.06,PE,AFARA,7.63,2,571,,593.0
410,16.98,PE,NARADI,8.34,1,101,,0.0
411,17.42,PE,AFARAK,7.97,1,278,192.0,0.0
412,16.88,PE,ATTANAWA,7.77,1,193,,0.0
413,16.95,PE,ABAKA,6.2,1,27,,0.0
414,16.42,PE,TABHOUT,7.12,1,105,,0.0
415,16.9,PE,TAGUEYT,7.59,1,136,,0.0
416,18.13,VA,TCHITTIN TAGHATT,7.45,1,524,,0.0
417,18.22,VA,TCHINGUID TANANOU AGOURO,7.16,1,53,,0.0
418,18.08,VA,R-T-A (ANOUMAKARAM),7.54,1,142,,0.0
419,18.14,CPT,TEBNIT,7.41,1,102,101.0,180.0
420,18.63,PE,TARINKIT,7.91,1,297,,319.0
421,18.63,PE,TARINKIT,7.91,1,829,,319.0
422,18.26,PE,IKALAN ZAGARANE,7.73,2,469,708.0,692.0
423,18.3,PE,MAZALAYLAYE,7.92,1,111,,0.0
424,18.02,PE,HANZAMATA,7.47,1,326,,399.0
425,18.01,PE,JIKAT,7.82,1,297,,0.0
426,18.07,PE,TEGHAZER,8.28,1,291,,0.0
427,17.94,PE,TASSADALT,6.57,1,245,,0.0
428,17.83,PE,ASSAK HAROU,6.72,1,19,,0.0
429,17.92,PE,TEZIRFITIK,7.04,1,310,121.0,264.0
430,18.06,PE,TAKARECH,6.81,1,149,,0.0
431,18.27,PE,TAZEWAT,6.61,1,56,,0.0
432,17.7,PE,SIKERET,7.42,1,619,296.0,0.0
